city,coordinates,email,county
Sebastopol,38.39917; -122.82694,sebastopol@tempemail.com,Sonoma
Selma,36.57083; -119.61194,selma@tempemail.com,Fresno
Shafter,35.50056; -119.27167,shafter@tempemail.com,Kern
Shasta Lake,40.67806; -122.37000,shastalake@tempemail.com,Shasta
Sierra Madre,34.16472; -118.05083,sierramadre@tempemail.com,Los Angeles
Signal Hill,33.79935; -118.16558,signalhill@tempemail.com,Los Angeles
Simi Valley,34.27111; -118.73944,simivalley@tempemail.com,Ventura
Solana Beach,32.99528; -117.26028,solanabeach@tempemail.com,San Diego
Soledad,36.42472; -121.32639,soledad@tempemail.com,Monterey
Solvang,34.59389; -120.13972,solvang@tempemail.com,Santa Barbara
Sonoma,38.28889; -122.45889,sonoma@tempemail.com,Sonoma
Sonora,37.98444; -120.38167,sonora@tempemail.com,Tuolumne
South El Monte,34.04889; -118.04833,southelmonte@tempemail.com,Los Angeles
South Gate,33.94417; -118.19500,southgate@tempemail.com,Los Angeles
South Lake Tahoe,38.94000; -119.97694,southlaketahoe@tempemail.com,El Dorado
South Pasadena,34.11611; -118.15028,southpasadena@tempemail.com,Los Angeles
South San Francisco,37.65611; -122.42556,southsanfrancisco@tempemail.com,San Mateo
Stanton,33.80250; -117.99444,stanton@tempemail.com,Orange
Stockton,37.97556; -121.30083,stockton@tempemail.com,San Joaquin
Suisun City,38.24500; -122.01694,suisuncity@tempemail.com,Solano
Sunnyvale,37.37111; -122.03750,sunnyvale@tempemail.com,Santa Clara
Susanville,40.41639; -120.65306,susanville@tempemail.com,Lassen
Sutter Creek,38.39306; -120.80250,suttercreek@tempemail.com,Amador
Taft,35.14250; -119.45639,taft@tempemail.com,Kern
Tehachapi,35.13222; -118.44889,tehachapi@tempemail.com,Kern
Tehama,40.02444; -122.12389,tehama@tempemail.com,Tehama
Temecula,33.50333; -117.12361,temecula@tempemail.com,Riverside
Temple City,34.10278; -118.05806,templecity@tempemail.com,Los Angeles
Thousand Oaks,34.18944; -118.87500,thousandoaks@tempemail.com,Ventura
Tiburon,37.87361; -122.45667,tiburon@tempemail.com,Marin
Torrance,33.83472; -118.34139,torrance@tempemail.com,Los Angeles
Tracy,37.73806; -121.43389,tracy@tempemail.com,San Joaquin
Trinidad,41.05917; -124.14306,trinidad@tempemail.com,Humboldt
Truckee,39.34222; -120.20361,truckee@tempemail.com,Nevada
Tulare,36.20667; -119.34250,tulare@tempemail.com,Tulare
Tulelake,41.95417; -121.47583,tulelake@tempemail.com,Siskiyou
Turlock,37.50583; -120.84889,turlock@tempemail.com,Stanislaus
Tustin,33.73972; -117.81361,tustin@tempemail.com,Orange
Twentynine Palms,34.13556; -116.05417,twentyninepalms@tempemail.com,San Bernardino
Ukiah,39.15028; -123.20778,ukiah@tempemail.com,Mendocino
Union City,37.59639; -122.04833,unioncity@tempemail.com,Alameda
Upland,34.100; -117.650,upland@tempemail.com,San Bernardino
Vacaville,38.35389; -121.97278,vacaville@tempemail.com,Solano
Vallejo,38.11306; -122.23583,vallejo@tempemail.com,Solano
Ventura,34.27500; -119.22778,ventura@tempemail.com,Ventura
Vernon,34.00111; -118.21111,vernon@tempemail.com,Los Angeles
Victorville,34.53611; -117.29111,victorville@tempemail.com,San Bernardino
Villa Park,33.81611; -117.81111,villapark@tempemail.com,Orange
Visalia,36.317; -119.300,visalia@tempemail.com,Tulare
Vista,33.19361; -117.24111,vista@tempemail.com,San Diego
Walnut,34.033; -117.867,walnut@tempemail.com,Los Angeles
Walnut Creek,37.90639; -122.06500,walnutcreek@tempemail.com,Contra Costa
Wasco,35.59417; -119.34083,wasco@tempemail.com,Kern
Waterford,37.64500; -120.76750,waterford@tempemail.com,Stanislaus
Watsonville,36.92000; -121.76361,watsonville@tempemail.com,Santa Cruz
Weed,41.42417; -122.38444,weed@tempemail.com,Siskiyou
West Covina,34.05667; -117.91861,westcovina@tempemail.com,Los Angeles
West Hollywood,34.08778; -118.37222,westhollywood@tempemail.com,Los Angeles
West Sacramento,38.58056; -121.53028,westsacramento@tempemail.com,Yolo
Westlake Village,34.14194; -118.81944,westlakevillage@tempemail.com,Los Angeles
Westminster,33.75139; -117.99389,westminster@tempemail.com,Orange
Westmorland,33.03722; -115.62139,westmorland@tempemail.com,Imperial
Wheatland,39.01000; -121.42306,wheatland@tempemail.com,Yuba
Whittier,33.96556; -118.02444,whittier@tempemail.com,Los Angeles
Wildomar,33.59889; -117.28000,wildomar@tempemail.com,Riverside
Williams,39.15472; -122.14944,williams@tempemail.com,Colusa
Willits,39.40972; -123.35556,willits@tempemail.com,Mendocino
Willows,39.52444; -122.19361,willows@tempemail.com,Glenn
Windsor,38.54722; -122.81639,windsor@tempemail.com,Sonoma
Winters,38.52500; -121.97083,winters@tempemail.com,Yolo
Woodlake,36.41639; -119.09944,woodlake@tempemail.com,Tulare
Woodland,38.67861; -121.77333,woodland@tempemail.com,Yolo
Woodside,37.42083; -122.25972,woodside@tempemail.com,San Mateo
Yorba Linda,33.888551; -117.813231,yorbalinda@tempemail.com,Orange
Yountville,38.40306; -122.36222,yountville@tempemail.com,Napa
Yreka,41.72667; -122.63750,yreka@tempemail.com,Siskiyou
Yuba City,39.13472; -121.62611,yubacity@tempemail.com,Sutter
Yucaipa,34.03361; -117.04306,yucaipa@tempemail.com,San Bernardino
Yucca Valley,34.11417; -116.43222,yuccavalley@tempemail.com,San Bernardino
